timestamp,step,memory_mb
1761049299.169855,0,15
1761049304.1939008,37,2241
1761049309.294956,155,3281
1761049314.3187654,247,5019
1761049319.3417892,296,5961
1761049324.37396,349,6993
1761049329.4012094,405,8041
1761049334.432145,460,9091
1761049339.46624,499,9789
1761049344.4948158,554,10849
1761049349.5175507,611,11915
1761049354.5451677,668,12987
1761049359.643241,712,13775
1761049364.7057462,764,14819
1761049369.7535932,823,15917
1761049374.784203,881,17029
1761049379.8204358,925,17819
1761049384.843215,978,18875
1761049389.8686008,1039,20013
1761049394.899789,1099,21133
1761049399.9393494,1141,21919
1761049404.9790354,1199,23015
1761049410.14918,1257,24105
1761049426.4563208,1257,24105
1761049441.4785686,1257,24105
1761049456.4988523,1257,24105
1761049471.5134523,1257,24105
1761049486.5339837,1257,24105
1761049501.547257,1257,24105
1761049516.5613775,1257,24105
1761049531.5801914,1257,24105
1761049546.5937223,1257,24105
1761049561.6090221,1257,24105
1761049576.6248262,1257,24105
1761049591.6402488,1257,24105
1761049606.6567047,1257,24105
1761049621.6744688,1257,24105
1761049636.6868303,1257,24105
1761049651.7023165,1257,24105
1761049666.7147074,1257,24105
1761049681.7321572,1257,24105
1761049696.7438269,1257,24105
1761049711.7614033,1257,24105
1761049726.7803686,1257,24105
1761049741.7967439,1257,24105
1761049756.8154,1257,24105
1761049771.83087,1257,24105
1761049786.8501506,1257,24105
1761049801.86654,1257,24105
1761049816.885403,1257,24105
1761049831.8977406,1257,24105
1761049846.906105,1257,24105
1761049861.915179,1257,24105
1761049869.961574,1257,24105
